recipe_name,cuisine,difficulty,prep_time,cook_time,servings,ingredients,instructions,nutrition,tips
Phở Bò,Vietnamese,Medium,30,180,6,"xương ống bò:2kg;xương đuôi bò:500g;thịt nạm bò:300g;thịt bò tái:200g;bánh phở:1kg;hành tây:2 củ;gừng:100g;quế:2 thanh;hồi:3 cái;thảo quả:2 trái;đinh hương:5 cái;hành lá:100g;rau mùi:100g;giá đỗ:200g;chanh:2 quả;ớt tươi:3 quả","1. Chần xương qua nước sôi để làm sạch;2. Nướng hành tây và gừng;3. Cho xương vào nồi lớn, đổ ngập nước và ninh trong 3 tiếng;4. Thêm các gia vị: quế, hồi, thảo quả, đinh hương vào túi lọc;5. Nêm nếm nước dùng với muối, đường phèn, nước mắm;6. Trụng bánh phở;7. Xếp thịt và rau vào tô;8. Chan nước dùng sôi","calories:450;protein:35g;carbs:50g;fat:15g","1. Nướng hành và gừng trước khi cho vào nấu để nước dùng thơm hơn;2. Hớt bọt thường xuyên để nước dùng trong;3. Nên ninh xương ít nhất 3 tiếng"
Bún Bò Huế,Vietnamese,Medium,30,210,6,"xương heo:1kg;bắp bò:500g;giò heo:500g;sả:5 cây;ớt:5 quả;hành tím:3 củ;tỏi:5 tép;gừng:50g;mắm ruốc:3 muỗng;ớt bột:2 muỗng;bún huế:1kg;rau muống:200g;giá:200g;hành lá:100g","1. Ninh xương và thịt;2. Phi thơm sả băm, tỏi băm;3. Ướp gia vị với mắm ruốc;4. Nấu nước dùng với sả và gia vị;5. Trụng bún;6. Xếp thịt và rau vào tô;7. Chan nước dùng","calories:550;protein:40g;carbs:45g;fat:20g","1. Dùng mắm ruốc nguyên chất;2. Phi sả thật thơm;3. Nêm nếm vừa ăn"
Bánh Xèo,Vietnamese,Medium,20,10,4,"bột gạo:300g;bột nghệ:1 muỗng;nước cốt dừa:200ml;thịt heo:200g;tôm:200g;giá đỗ:200g;hành lá:100g;nước mắm:50ml;đường:20g;ớt:2 quả","1. Trộn bột với nước cốt dừa;2. Phi thơm hành;3. Đổ bột vào chảo;4. Cho nhân vào;5. Chiên giòn hai mặt","calories:400;protein:25g;carbs:35g;fat:18g","1. Để bột nghỉ 30 phút;2. Chảo phải thật nóng;3. Đổ bột mỏng đều"
Gỏi Cuốn,Vietnamese,Easy,20,10,4,"bánh tráng:12 cái;tôm:300g;thịt heo:200g;bún:200g;rau xà lách:100g;rau thơm:100g;đậu phộng:50g;nước mắm:100ml","1. Luộc tôm và thịt;2. Trải bánh tráng;3. Xếp nguyên liệu;4. Cuốn chặt;5. Làm nước chấm","calories:280;protein:18g;carbs:35g;fat:10g","1. Bánh tráng ngâm nước vừa đủ;2. Cuốn chặt tay;3. Nước chấm đậm đà"
Cá Kho Tộ,Vietnamese,Medium,20,40,4,"cá thu:800g;nước mắm:100ml;đường:50g;tiêu:15g;tỏi:5 tép;ớt:2 quả;gừng:30g;hành khô:3 củ","1. Làm sạch cá;2. Ướp cá với gia vị;3. Xếp cá vào nồi đất;4. Kho liu riu lửa;5. Kho đến khi nước cạn sệt","calories:350;protein:28g;carbs:15g;fat:20g","1. Chọn nồi đất để cá ngon hơn;2. Kho liu riu lửa;3. Nước kho cạn sệt"
Bún Chả,Vietnamese,Medium,40,30,4,"thịt ba chỉ:500g;thịt vai:300g;tỏi:5 tép;hành khô:3 củ;nước mắm:50ml;đường:30g;tiêu:10g;bún:500g;rau sống:300g;ớt:2 quả","1. Ướp thịt với hỗn hợp nước mắm;2. Để thịt ướp 2 tiếng;3. Nướng thịt trên bếp than;4. Pha nước chấm;5. Trình bày với bún và rau sống","calories:550;protein:30g;carbs:45g;fat:25g","1. Nướng thịt trên bếp than;2. Thịt thái miếng vừa;3. Nước chấm chua ngọt mặn"
Bánh Mì,Vietnamese,Easy,20,15,4,"bánh mì:4 ổ;patê:200g;chả lụa:200g;thịt nguội:150g;đồ chua:200g;rau răm:50g;ớt:2 quả;xì dầu:30ml;mayonnaise:50g","1. Làm nóng bánh mì;2. Phết patê và mayonnaise;3. Xếp các loại thịt;4. Thêm đồ chua và rau;5. Rưới xì dầu","calories:400;protein:20g;carbs:45g;fat:18g","1. Bánh mì phải nóng giòn;2. Đồ chua phải giòn ngon;3. Cân đối nguyên liệu"
Cơm Tấm,Vietnamese,Medium,20,30,1,"cơm tấm:200g;sườn nướng:200g;chả trứng:100g;bì:100g;đồ chua:100g;mỡ hành:50g;nước mắm:50ml","1. Nướng sườn;2. Làm chả trứng;3. Làm bì;4. Xếp lên cơm;5. Rưới mỡ hành và nước mắm","calories:650;protein:35g;carbs:70g;fat:25g","1. Cơm phải dẻo;2. Sườn nướng thơm;3. Nước mắm vừa ăn"
Bún Riêu,Vietnamese,Medium,30,60,4,"bún:500g;cua đồng:500g;thịt băm:200g;đậu phụ:200g;mắm tôm:30g;cà chua:300g;hành lá:100g;rau muống:200g","1. Lọc riêu cua;2. Nấu nước dùng;3. Cho cà chua;4. Nêm nếm;5. Trụng bún;6. Thêm rau","calories:400;protein:25g;carbs:50g;fat:15g","1. Cua tươi ngon;2. Riêu cua mịn;3. Nước dùng trong"
Chả Giò,Vietnamese,Medium,45,15,6,"bánh tráng:20 cái;thịt heo băm:300g;miến:100g;nấm mèo:50g;cà rốt:100g;hành tây:100g;trứng:2 quả;nước mắm:50ml","1. Trộn nhân;2. Cuốn chả giò;3. Chiên vàng;4. Làm nước chấm;5. Ăn kèm rau sống","calories:300;protein:15g;carbs:30g;fat:15g","1. Cuốn chặt tay;2. Dầu phải nóng;3. Chiên vàng đều"
